team,team_gender,country,discipline
Sweden,O,Sweden,Equestrian
United States of America,O,United States,Equestrian
Australia,O,Australia,Equestrian
Austria,O,Austria,Equestrian
Belgium,O,Belgium,Equestrian
Brazil,O,Brazil,Equestrian
Canada,O,Canada,Equestrian
Spain,O,Spain,Equestrian
France,O,France,Equestrian
Great Britain,O,Great Britain,Equestrian
Germany,O,Germany,Equestrian
Ireland,O,Ireland,Equestrian
Israel,O,Israel,Equestrian
Japan,O,Japan,Equestrian
Saudi Arabia,O,Saudi Arabia,Equestrian
Mexico,O,Mexico,Equestrian
Netherlands,O,Netherlands,Equestrian
Poland,O,Poland,Equestrian
Switzerland,O,Switzerland,Equestrian
Sweden,O,Sweden,Equestrian
United Arab Emirates,O,UA Emirates,Equestrian
United States of America,O,United States,Equestrian
Argentina,M,Argentina,Football
Dominican Republic,M,Dominican Republic,Football
Egypt,M,Egypt,Football
Spain,M,Spain,Football
France,M,France,Football
Guinea,M,Guinea,Football
Iraq,M,Iraq,Football
Israel,M,Israel,Football
Japan,M,Japan,Football
Morocco,M,Morocco,Football
Mali,M,Mali,Football
New Zealand,M,New Zealand,Football
Paraguay,M,Paraguay,Football
Ukraine,M,Ukraine,Football
United States of America,M,United States,Football
Uzbekistan,M,Uzbekistan,Football
Australia,W,Australia,Football
Brazil,W,Brazil,Football
Canada,W,Canada,Football
Colombia,W,Colombia,Football
Spain,W,Spain,Football
France,W,France,Football
Germany,W,Germany,Football
Japan,W,Japan,Football
Nigeria,W,Nigeria,Football
New Zealand,W,New Zealand,Football
United States of America,W,United States,Football
Zambia,W,Zambia,Football
Czechia,M,Czechia,Fencing
Egypt,M,Egypt,Fencing
France,M,France,Fencing
Hungary,M,Hungary,Fencing
Italy,M,Italy,Fencing
Japan,M,Japan,Fencing
Kazakhstan,M,Kazakhstan,Fencing
Venezuela,M,Venezuela,Fencing
Canada,M,Canada,Fencing
People's Republic of China,M,China,Fencing
Egypt,M,Egypt,Fencing
