name,gender,disciplines,country
GBAI Jessika,Female,['Athletics'],Côte d'Ivoire
BORDACHYOVA Ekaterina,Female,['Swimming'],Tajikistan
DRAGAN Annaliese,Female,['Rhythmic Gymnastics'],Romania
TEIXEIRA SANTANA Herminia,Female,['Canoe Sprint'],Sao Tome & Principe
GOLUBIC Marko,Male,['Taekwondo'],Croatia
ALONSO ALDERETE Alejandra,Female,['Rowing'],Paraguay
BIAGIOLI Romina,Female,['Triathlon'],Argentina
BARBELIN Lisa,Female,['Archery'],France
CORDEAU Amelie,Female,['Archery'],France
LOPEZ Caroline,Female,['Archery'],France
ADDIS Baptiste,Male,['Archery'],France
CHIRAULT Thomas,Male,['Archery'],France
VALLADONT Jean-Charles,Male,['Archery'],France
LORENZO Santiago,Male,['Table Tennis'],Argentina
ALIZADEH Dara,Male,['Rowing'],Bermuda
GOMEZ VALDIVIA Janeth,Female,['Weightlifting'],Mexico
FONSECA CARRAZANA Daniela,Female,['Table Tennis'],Cuba
CAMPOS Jorge,Male,['Table Tennis'],Cuba
PEREIRA Andy,Male,['Table Tennis'],Cuba
SIERRA Arlenis,Female,['Cycling Road'],Cuba
BAHER ARASBARAN Farzad,Male,['Fencing'],IR Iran
PAKDAMAN Ali,Male,['Fencing'],IR Iran
FOTOUHI Mohammad,Male,['Fencing'],IR Iran
RAHBARI Mohammad,Male,['Fencing'],IR Iran
GARCIA NAVARRO Anisley,Female,['Diving'],Cuba
RUIZ Prisis,Female,['Diving'],Cuba
BECALI Andrea,Female,['Swimming'],Cuba
FALCON JR Rodolfo,Male,['Swimming'],Cuba
de OLIVEIRA Roldeney,Male,['Judo'],Sao Tome & Principe
SEMEDO Gorete,Female,['Athletics'],Sao Tome & Principe
DIACONU Adina,Female,['Table Tennis'],Romania
IONESCU Eduard,Male,['Table Tennis'],Romania
IONESCU Ovidiu,Male,['Table Tennis'],Romania
SAMARA Elizabeta,Female,['Table Tennis'],Romania
SZOCS Bernadette,Female,['Table Tennis'],Romania
