name,gender,discipline,country,medal_type
EBDEN/PEERS,M,Tennis,Australia,Gold Medal
KRAJICEK/RAM,M,Tennis,United States,Silver Medal
FRITZ/PAUL,M,Tennis,United States,Bronze Medal
Lorenzo MUSETTI,M,Tennis,Italy,Bronze Medal
ZHENG Qinwen,W,Tennis,China,Gold Medal
Donna VEKIC,W,Tennis,Croatia,Silver Medal
KIM Woojin,M,Archery,Korea,Gold Medal
Brady ELLISON,M,Archery,United States,Silver Medal
LEE Wooseok,M,Archery,Korea,Bronze Medal
LIU Yang,M,Artistic Gymnastics,China,Gold Medal
ZOU Jingyuan,M,Artistic Gymnastics,China,Silver Medal
Eleftherios PETROUNIAS,M,Artistic Gymnastics,Greece,Bronze Medal
Carlos Edriel YULO,M,Artistic Gymnastics,Philippines,Gold Medal
Artur DAVTYAN,M,Artistic Gymnastics,Armenia,Silver Medal
Harry HEPWORTH,M,Artistic Gymnastics,Great Britain,Bronze Medal
Kaylia NEMOUR,W,Artistic Gymnastics,Algeria,Gold Medal
QIU Qiyuan,W,Artistic Gymnastics,China,Silver Medal
Sunisa LEE,W,Artistic Gymnastics,United States,Bronze Medal
Noah LYLES,M,Athletics,United States,Gold Medal
Kishane THOMPSON,M,Athletics,Jamaica,Silver Medal
Fred KERLEY,M,Athletics,United States,Bronze Medal
Ethan KATZBERG,M,Athletics,Canada,Gold Medal
Bence HALASZ,M,Athletics,Hungary,Silver Medal
Mykhaylo KOKHAN,M,Athletics,Ukraine,Bronze Medal
Yaroslava MAHUCHIKH,W,Athletics,Ukraine,Gold Medal
Nicola OLYSLAGERS,W,Athletics,Australia,Silver Medal
Iryna GERASHCHENKO,W,Athletics,Ukraine,Bronze Medal
Eleanor PATTERSON,W,Athletics,Australia,Bronze Medal
LEE/WANG,M,Badminton,Chinese Taipei,Gold Medal
LIANG/WANG,M,Badminton,China,Silver Medal
CHIA/SOH,M,Badminton,Malaysia,Bronze Medal
Gregoria Mariska TUNJUNG,W,Badminton,Indonesia,Bronze Medal
Yunior ALCANTARA REYES,M,Boxing,Dominican Republic,Bronze Medal
David de PINA,M,Boxing,Cabo Verde,Bronze Medal
Wyatt SANFORD,M,Boxing,Canada,Bronze Medal
Lasha GURULI,M,Boxing,Georgia,Bronze Medal
Cristian Javier PINALES,M,Boxing,Dominican Republic,Bronze Medal
Arlen LOPEZ CARDONA,M,Boxing,Cuba,Bronze Medal
Enmanuel REYES PLA,M,Boxing,Spain,Bronze Medal
Davlat BOLTAEV,M,Boxing,Tajikistan,Bronze Medal
PANG Cholmi,W,Boxing,DPR Korea,Bronze Medal
IM Aeji,W,Boxing,Korea,Bronze Medal
Kristen FAULKNER,W,Cycling Road,United States,Gold Medal
Marianne VOS,W,Cycling Road,Netherlands,Silver Medal
Lotte KOPECKY,W,Cycling Road,Belgium,Bronze Medal
Jessica von BREDOW-WERNDL,O,Equestrian,Germany,Gold Medal
Isabell WERTH,O,Equestrian,Germany,Silver Medal
Charlotte FRY,O,Equestrian,Great Britain,Bronze Medal
